label,text
ham,"Hey, are we still meeting at 5 PM today?"
spam,"Congratulations! You've won a $1000 Walmart gift card. Click here to claim your prize."
ham,"Don't forget to submit the report by tomorrow."
spam,"Earn extra cash from home! Start today with our exclusive program."
ham,"Let's catch up over coffee this weekend."
spam,"URGENT: Your bank account has been compromised. Click here to secure it."
ham,"The meeting has been rescheduled to 3 PM."
spam,"Get a free iPhone 14! Click here to claim your prize."
ham,"Can you send me the updated project plan?"
spam,"You've been selected for a limited-time offer. Don't miss out!"
